"Step","combined_9_GN1_1p - weights/sem","combined_9_GN1_1p - weights/sem__MIN","combined_9_GN1_1p - weights/sem__MAX","combined_10_GN1_1p - weights/sem","combined_10_GN1_1p - weights/sem__MIN","combined_10_GN1_1p - weights/sem__MAX","combined_8_GN1_1p - weights/sem","combined_8_GN1_1p - weights/sem__MIN","combined_8_GN1_1p - weights/sem__MAX","combined_7_GN1_1p - weights/sem","combined_7_GN1_1p - weights/sem__MIN","combined_7_GN1_1p - weights/sem__MAX","combined_6_GN1_1p - weights/sem","combined_6_GN1_1p - weights/sem__MIN","combined_6_GN1_1p - weights/sem__MAX","combined_5_GN1_1p - weights/sem","combined_5_GN1_1p - weights/sem__MIN","combined_5_GN1_1p - weights/sem__MAX","combined_4_GN1_1p - weights/sem","combined_4_GN1_1p - weights/sem__MIN","combined_4_GN1_1p - weights/sem__MAX","combined_3_GN1_1p - weights/sem","combined_3_GN1_1p - weights/sem__MIN","combined_3_GN1_1p - weights/sem__MAX","combined_2_GN1_1p - weights/sem","combined_2_GN1_1p - weights/sem__MIN","combined_2_GN1_1p - weights/sem__MAX","combined_1_GN1_1p - weights/sem","combined_1_GN1_1p - weights/sem__MIN","combined_1_GN1_1p - weights/sem__MAX"
"10","1.2270134687423706","1.2270134687423706","1.2270134687423706","1.1979705095291138","1.1979705095291138","1.1979705095291138","1.3657774925231934","1.3657774925231934","1.3657774925231934","1.3310418128967285","1.3310418128967285","1.3310418128967285","1.2465260028839111","1.2465260028839111","1.2465260028839111","1.2197561264038086","1.2197561264038086","1.2197561264038086","1.2542753219604492","1.2542753219604492","1.2542753219604492","1.2850919961929321","1.2850919961929321","1.2850919961929321","1.388035535812378","1.388035535812378","1.388035535812378","1.208714246749878","1.208714246749878","1.208714246749878"
"11","1.2265949249267578","1.2265949249267578","1.2265949249267578","1.1969718933105469","1.1969718933105469","1.1969718933105469","1.3720239400863647","1.3720239400863647","1.3720239400863647","1.3532936573028564","1.3532936573028564","1.3532936573028564","1.2376610040664673","1.2376610040664673","1.2376610040664673","1.2072291374206543","1.2072291374206543","1.2072291374206543","1.243107795715332","1.243107795715332","1.243107795715332","1.2786449193954468","1.2786449193954468","1.2786449193954468","1.3798378705978394","1.3798378705978394","1.3798378705978394","1.218510627746582","1.218510627746582","1.218510627746582"
"12","1.2498852014541626","1.2498852014541626","1.2498852014541626","1.1962919235229492","1.1962919235229492","1.1962919235229492","1.3821254968643188","1.3821254968643188","1.3821254968643188","1.3787707090377808","1.3787707090377808","1.3787707090377808","1.2574033737182617","1.2574033737182617","1.2574033737182617","1.2136132717132568","1.2136132717132568","1.2136132717132568","1.2328612804412842","1.2328612804412842","1.2328612804412842","1.2962168455123901","1.2962168455123901","1.2962168455123901","1.4125542640686035","1.4125542640686035","1.4125542640686035","1.214941382408142","1.214941382408142","1.214941382408142"
"13","1.2557660341262817","1.2557660341262817","1.2557660341262817","1.2217869758605957","1.2217869758605957","1.2217869758605957","1.3820090293884277","1.3820090293884277","1.3820090293884277","1.3916937112808228","1.3916937112808228","1.3916937112808228","1.269518494606018","1.269518494606018","1.269518494606018","1.2433158159255981","1.2433158159255981","1.2433158159255981","1.2590203285217285","1.2590203285217285","1.2590203285217285","1.3220882415771484","1.3220882415771484","1.3220882415771484","1.4152412414550781","1.4152412414550781","1.4152412414550781","1.23434579372406","1.23434579372406","1.23434579372406"
"14","1.2921149730682373","1.2921149730682373","1.2921149730682373","1.2520595788955688","1.2520595788955688","1.2520595788955688","1.3839737176895142","1.3839737176895142","1.3839737176895142","1.4068211317062378","1.4068211317062378","1.4068211317062378","1.2802536487579346","1.2802536487579346","1.2802536487579346","1.2565412521362305","1.2565412521362305","1.2565412521362305","1.2937579154968262","1.2937579154968262","1.2937579154968262","1.3506819009780884","1.3506819009780884","1.3506819009780884","1.4308123588562012","1.4308123588562012","1.4308123588562012","1.2489603757858276","1.2489603757858276","1.2489603757858276"
"15","1.290569543838501","1.290569543838501","1.290569543838501","1.2798582315444946","1.2798582315444946","1.2798582315444946","1.3853018283843994","1.3853018283843994","1.3853018283843994","1.4161275625228882","1.4161275625228882","1.4161275625228882","1.311008334159851","1.311008334159851","1.311008334159851","1.278262734413147","1.278262734413147","1.278262734413147","1.296205997467041","1.296205997467041","1.296205997467041","1.3571243286132812","1.3571243286132812","1.3571243286132812","1.4497582912445068","1.4497582912445068","1.4497582912445068","1.2727925777435303","1.2727925777435303","1.2727925777435303"
"16","1.2808178663253784","1.2808178663253784","1.2808178663253784","1.3129621744155884","1.3129621744155884","1.3129621744155884","1.3958637714385986","1.3958637714385986","1.3958637714385986","1.4013291597366333","1.4013291597366333","1.4013291597366333","1.3117256164550781","1.3117256164550781","1.3117256164550781","1.3210550546646118","1.3210550546646118","1.3210550546646118","1.2930679321289062","1.2930679321289062","1.2930679321289062","1.3348907232284546","1.3348907232284546","1.3348907232284546","1.459335207939148","1.459335207939148","1.459335207939148","1.2613292932510376","1.2613292932510376","1.2613292932510376"
"17","1.3104933500289917","1.3104933500289917","1.3104933500289917","1.3259464502334595","1.3259464502334595","1.3259464502334595","1.4271996021270752","1.4271996021270752","1.4271996021270752","1.398686170578003","1.398686170578003","1.398686170578003","1.3128795623779297","1.3128795623779297","1.3128795623779297","1.2976106405258179","1.2976106405258179","1.2976106405258179","1.2750704288482666","1.2750704288482666","1.2750704288482666","1.351684808731079","1.351684808731079","1.351684808731079","1.4593095779418945","1.4593095779418945","1.4593095779418945","1.2694863080978394","1.2694863080978394","1.2694863080978394"
"18","1.3438383340835571","1.3438383340835571","1.3438383340835571","1.3434491157531738","1.3434491157531738","1.3434491157531738","1.4414472579956055","1.4414472579956055","1.4414472579956055","1.3905547857284546","1.3905547857284546","1.3905547857284546","1.304154872894287","1.304154872894287","1.304154872894287","1.3164011240005493","1.3164011240005493","1.3164011240005493","1.295447826385498","1.295447826385498","1.295447826385498","1.3718088865280151","1.3718088865280151","1.3718088865280151","1.4694069623947144","1.4694069623947144","1.4694069623947144","1.2962342500686646","1.2962342500686646","1.2962342500686646"
"19","1.3449699878692627","1.3449699878692627","1.3449699878692627","1.3249304294586182","1.3249304294586182","1.3249304294586182","1.4562023878097534","1.4562023878097534","1.4562023878097534","1.3681317567825317","1.3681317567825317","1.3681317567825317","1.3234972953796387","1.3234972953796387","1.3234972953796387","1.3283628225326538","1.3283628225326538","1.3283628225326538","1.305405855178833","1.305405855178833","1.305405855178833","1.3882474899291992","1.3882474899291992","1.3882474899291992","1.453849196434021","1.453849196434021","1.453849196434021","1.302954077720642","1.302954077720642","1.302954077720642"
