"Step","combined_9_GN1_1p - weights/vad","combined_9_GN1_1p - weights/vad__MIN","combined_9_GN1_1p - weights/vad__MAX","combined_10_GN1_1p - weights/vad","combined_10_GN1_1p - weights/vad__MIN","combined_10_GN1_1p - weights/vad__MAX","combined_8_GN1_1p - weights/vad","combined_8_GN1_1p - weights/vad__MIN","combined_8_GN1_1p - weights/vad__MAX","combined_7_GN1_1p - weights/vad","combined_7_GN1_1p - weights/vad__MIN","combined_7_GN1_1p - weights/vad__MAX","combined_6_GN1_1p - weights/vad","combined_6_GN1_1p - weights/vad__MIN","combined_6_GN1_1p - weights/vad__MAX","combined_5_GN1_1p - weights/vad","combined_5_GN1_1p - weights/vad__MIN","combined_5_GN1_1p - weights/vad__MAX","combined_4_GN1_1p - weights/vad","combined_4_GN1_1p - weights/vad__MIN","combined_4_GN1_1p - weights/vad__MAX","combined_3_GN1_1p - weights/vad","combined_3_GN1_1p - weights/vad__MIN","combined_3_GN1_1p - weights/vad__MAX","combined_2_GN1_1p - weights/vad","combined_2_GN1_1p - weights/vad__MIN","combined_2_GN1_1p - weights/vad__MAX","combined_1_GN1_1p - weights/vad","combined_1_GN1_1p - weights/vad__MIN","combined_1_GN1_1p - weights/vad__MAX"
"10","0.1784491240978241","0.1784491240978241","0.1784491240978241","0.20605477690696716","0.20605477690696716","0.20605477690696716","0.21821975708007812","0.21821975708007812","0.21821975708007812","0.23552489280700684","0.23552489280700684","0.23552489280700684","0.20087550580501556","0.20087550580501556","0.20087550580501556","0.23408138751983643","0.23408138751983643","0.23408138751983643","0.21702416241168976","0.21702416241168976","0.21702416241168976","0.22457584738731384","0.22457584738731384","0.22457584738731384","0.22171181440353394","0.22171181440353394","0.22171181440353394","0.2075776904821396","0.2075776904821396","0.2075776904821396"
"11","0.2050458788871765","0.2050458788871765","0.2050458788871765","0.22264431416988373","0.22264431416988373","0.22264431416988373","0.22546549141407013","0.22546549141407013","0.22546549141407013","0.2403925359249115","0.2403925359249115","0.2403925359249115","0.20756222307682037","0.20756222307682037","0.20756222307682037","0.25039178133010864","0.25039178133010864","0.25039178133010864","0.24404393136501312","0.24404393136501312","0.24404393136501312","0.21638385951519012","0.21638385951519012","0.21638385951519012","0.23542974889278412","0.23542974889278412","0.23542974889278412","0.22717878222465515","0.22717878222465515","0.22717878222465515"
"12","0.23431216180324554","0.23431216180324554","0.23431216180324554","0.22428664565086365","0.22428664565086365","0.22428664565086365","0.24161282181739807","0.24161282181739807","0.24161282181739807","0.22974196076393127","0.22974196076393127","0.22974196076393127","0.2237461358308792","0.2237461358308792","0.2237461358308792","0.24893008172512054","0.24893008172512054","0.24893008172512054","0.27957624197006226","0.27957624197006226","0.27957624197006226","0.21932582557201385","0.21932582557201385","0.21932582557201385","0.2305905818939209","0.2305905818939209","0.2305905818939209","0.25789886713027954","0.25789886713027954","0.25789886713027954"
"13","0.2606796622276306","0.2606796622276306","0.2606796622276306","0.24644732475280762","0.24644732475280762","0.24644732475280762","0.2649857997894287","0.2649857997894287","0.2649857997894287","0.2589758634567261","0.2589758634567261","0.2589758634567261","0.2593136429786682","0.2593136429786682","0.2593136429786682","0.2370406836271286","0.2370406836271286","0.2370406836271286","0.2679438889026642","0.2679438889026642","0.2679438889026642","0.23602472245693207","0.23602472245693207","0.23602472245693207","0.2340298444032669","0.2340298444032669","0.2340298444032669","0.25526055693626404","0.25526055693626404","0.25526055693626404"
"14","0.23434589803218842","0.23434589803218842","0.23434589803218842","0.2682184875011444","0.2682184875011444","0.2682184875011444","0.2757748067378998","0.2757748067378998","0.2757748067378998","0.269809752702713","0.269809752702713","0.269809752702713","0.2658449113368988","0.2658449113368988","0.2658449113368988","0.25299879908561707","0.25299879908561707","0.25299879908561707","0.28287360072135925","0.28287360072135925","0.28287360072135925","0.22226916253566742","0.22226916253566742","0.22226916253566742","0.2349301278591156","0.2349301278591156","0.2349301278591156","0.25964900851249695","0.25964900851249695","0.25964900851249695"
"15","0.2271474450826645","0.2271474450826645","0.2271474450826645","0.26287052035331726","0.26287052035331726","0.26287052035331726","0.28747060894966125","0.28747060894966125","0.28747060894966125","0.24980878829956055","0.24980878829956055","0.24980878829956055","0.23251795768737793","0.23251795768737793","0.23251795768737793","0.2539544701576233","0.2539544701576233","0.2539544701576233","0.286413311958313","0.286413311958313","0.286413311958313","0.22001972794532776","0.22001972794532776","0.22001972794532776","0.24944403767585754","0.24944403767585754","0.24944403767585754","0.2872557044029236","0.2872557044029236","0.2872557044029236"
"16","0.25450026988983154","0.25450026988983154","0.25450026988983154","0.24333563446998596","0.24333563446998596","0.24333563446998596","0.2971976399421692","0.2971976399421692","0.2971976399421692","0.27057796716690063","0.27057796716690063","0.27057796716690063","0.2483171820640564","0.2483171820640564","0.2483171820640564","0.2458372265100479","0.2458372265100479","0.2458372265100479","0.2960805594921112","0.2960805594921112","0.2960805594921112","0.23541323840618134","0.23541323840618134","0.23541323840618134","0.27613598108291626","0.27613598108291626","0.27613598108291626","0.2943538427352905","0.2943538427352905","0.2943538427352905"
"17","0.2662573754787445","0.2662573754787445","0.2662573754787445","0.2461313158273697","0.2461313158273697","0.2461313158273697","0.26619789004325867","0.26619789004325867","0.26619789004325867","0.3048222064971924","0.3048222064971924","0.3048222064971924","0.28194260597229004","0.28194260597229004","0.28194260597229004","0.2717509865760803","0.2717509865760803","0.2717509865760803","0.32119643688201904","0.32119643688201904","0.32119643688201904","0.25236615538597107","0.25236615538597107","0.25236615538597107","0.29452523589134216","0.29452523589134216","0.29452523589134216","0.2887759506702423","0.2887759506702423","0.2887759506702423"
"18","0.28527894616127014","0.28527894616127014","0.28527894616127014","0.22184081375598907","0.22184081375598907","0.22184081375598907","0.2660501003265381","0.2660501003265381","0.2660501003265381","0.3279989957809448","0.3279989957809448","0.3279989957809448","0.27383163571357727","0.27383163571357727","0.27383163571357727","0.27992960810661316","0.27992960810661316","0.27992960810661316","0.3196731507778168","0.3196731507778168","0.3196731507778168","0.27319100499153137","0.27319100499153137","0.27319100499153137","0.3116849958896637","0.3116849958896637","0.3116849958896637","0.2776012718677521","0.2776012718677521","0.2776012718677521"
"19","0.28784292936325073","0.28784292936325073","0.28784292936325073","0.27469632029533386","0.27469632029533386","0.27469632029533386","0.3011847138404846","0.3011847138404846","0.3011847138404846","0.3544546067714691","0.3544546067714691","0.3544546067714691","0.29018670320510864","0.29018670320510864","0.29018670320510864","0.2978315055370331","0.2978315055370331","0.2978315055370331","0.35633406043052673","0.35633406043052673","0.35633406043052673","0.2750726342201233","0.2750726342201233","0.2750726342201233","0.3148788809776306","0.3148788809776306","0.3148788809776306","0.29746976494789124","0.29746976494789124","0.29746976494789124"
