"Step","combined_9_GN1_1p - weights/ekman","combined_9_GN1_1p - weights/ekman__MIN","combined_9_GN1_1p - weights/ekman__MAX","combined_10_GN1_1p - weights/ekman","combined_10_GN1_1p - weights/ekman__MIN","combined_10_GN1_1p - weights/ekman__MAX","combined_8_GN1_1p - weights/ekman","combined_8_GN1_1p - weights/ekman__MIN","combined_8_GN1_1p - weights/ekman__MAX","combined_7_GN1_1p - weights/ekman","combined_7_GN1_1p - weights/ekman__MIN","combined_7_GN1_1p - weights/ekman__MAX","combined_6_GN1_1p - weights/ekman","combined_6_GN1_1p - weights/ekman__MIN","combined_6_GN1_1p - weights/ekman__MAX","combined_5_GN1_1p - weights/ekman","combined_5_GN1_1p - weights/ekman__MIN","combined_5_GN1_1p - weights/ekman__MAX","combined_4_GN1_1p - weights/ekman","combined_4_GN1_1p - weights/ekman__MIN","combined_4_GN1_1p - weights/ekman__MAX","combined_3_GN1_1p - weights/ekman","combined_3_GN1_1p - weights/ekman__MIN","combined_3_GN1_1p - weights/ekman__MAX","combined_2_GN1_1p - weights/ekman","combined_2_GN1_1p - weights/ekman__MIN","combined_2_GN1_1p - weights/ekman__MAX","combined_1_GN1_1p - weights/ekman","combined_1_GN1_1p - weights/ekman__MIN","combined_1_GN1_1p - weights/ekman__MAX"
"10","1.5945364236831665","1.5945364236831665","1.5945364236831665","1.5959748029708862","1.5959748029708862","1.5959748029708862","1.4160029888153076","1.4160029888153076","1.4160029888153076","1.4334336519241333","1.4334336519241333","1.4334336519241333","1.5525988340377808","1.5525988340377808","1.5525988340377808","1.5461620092391968","1.5461620092391968","1.5461620092391968","1.528700590133667","1.528700590133667","1.528700590133667","1.4903321266174316","1.4903321266174316","1.4903321266174316","1.3902522325515747","1.3902522325515747","1.3902522325515747","1.5837074518203735","1.5837074518203735","1.5837074518203735"
"11","1.568359375","1.568359375","1.568359375","1.5803838968276978","1.5803838968276978","1.5803838968276978","1.4025107622146606","1.4025107622146606","1.4025107622146606","1.406313419342041","1.406313419342041","1.406313419342041","1.5547767877578735","1.5547767877578735","1.5547767877578735","1.5423777103424072","1.5423777103424072","1.5423777103424072","1.5128486156463623","1.5128486156463623","1.5128486156463623","1.5049712657928467","1.5049712657928467","1.5049712657928467","1.3847328424453735","1.3847328424453735","1.3847328424453735","1.554310917854309","1.554310917854309","1.554310917854309"
"12","1.5158028602600098","1.5158028602600098","1.5158028602600098","1.5794214010238647","1.5794214010238647","1.5794214010238647","1.3762617111206055","1.3762617111206055","1.3762617111206055","1.3914870023727417","1.3914870023727417","1.3914870023727417","1.518850564956665","1.518850564956665","1.518850564956665","1.5374571084976196","1.5374571084976196","1.5374571084976196","1.4875620603561401","1.4875620603561401","1.4875620603561401","1.4844573736190796","1.4844573736190796","1.4844573736190796","1.3568546772003174","1.3568546772003174","1.3568546772003174","1.5271590948104858","1.5271590948104858","1.5271590948104858"
"13","1.4835546016693115","1.4835546016693115","1.4835546016693115","1.5317655801773071","1.5317655801773071","1.5317655801773071","1.3530046939849854","1.3530046939849854","1.3530046939849854","1.3493306636810303","1.3493306636810303","1.3493306636810303","1.4711675643920898","1.4711675643920898","1.4711675643920898","1.519643783569336","1.519643783569336","1.519643783569336","1.4730360507965088","1.4730360507965088","1.4730360507965088","1.4418866634368896","1.4418866634368896","1.4418866634368896","1.3507286310195923","1.3507286310195923","1.3507286310195923","1.510393738746643","1.510393738746643","1.510393738746643"
"14","1.4735387563705444","1.4735387563705444","1.4735387563705444","1.479722023010254","1.479722023010254","1.479722023010254","1.3402520418167114","1.3402520418167114","1.3402520418167114","1.3233685493469238","1.3233685493469238","1.3233685493469238","1.4539014101028442","1.4539014101028442","1.4539014101028442","1.49045991897583","1.49045991897583","1.49045991897583","1.42336905002594","1.42336905002594","1.42336905002594","1.427048921585083","1.427048921585083","1.427048921585083","1.3342571258544922","1.3342571258544922","1.3342571258544922","1.491390585899353","1.491390585899353","1.491390585899353"
"15","1.4822828769683838","1.4822828769683838","1.4822828769683838","1.4572718143463135","1.4572718143463135","1.4572718143463135","1.3272277116775513","1.3272277116775513","1.3272277116775513","1.3340632915496826","1.3340632915496826","1.3340632915496826","1.4564731121063232","1.4564731121063232","1.4564731121063232","1.4677832126617432","1.4677832126617432","1.4677832126617432","1.4173812866210938","1.4173812866210938","1.4173812866210938","1.4228562116622925","1.4228562116622925","1.4228562116622925","1.3007973432540894","1.3007973432540894","1.3007973432540894","1.4399516582489014","1.4399516582489014","1.4399516582489014"
"16","1.4646819829940796","1.4646819829940796","1.4646819829940796","1.443702220916748","1.443702220916748","1.443702220916748","1.3069387674331665","1.3069387674331665","1.3069387674331665","1.328093409538269","1.328093409538269","1.328093409538269","1.4399571418762207","1.4399571418762207","1.4399571418762207","1.4331073760986328","1.4331073760986328","1.4331073760986328","1.4108514785766602","1.4108514785766602","1.4108514785766602","1.4296953678131104","1.4296953678131104","1.4296953678131104","1.2645291090011597","1.2645291090011597","1.2645291090011597","1.4443168640136719","1.4443168640136719","1.4443168640136719"
"17","1.423250436782837","1.423250436782837","1.423250436782837","1.427922248840332","1.427922248840332","1.427922248840332","1.3066028356552124","1.3066028356552124","1.3066028356552124","1.296491026878357","1.296491026878357","1.296491026878357","1.4051772356033325","1.4051772356033325","1.4051772356033325","1.4306379556655884","1.4306379556655884","1.4306379556655884","1.4037331342697144","1.4037331342697144","1.4037331342697144","1.3959497213363647","1.3959497213363647","1.3959497213363647","1.2461656332015991","1.2461656332015991","1.2461656332015991","1.441738247871399","1.441738247871399","1.441738247871399"
"18","1.3708831071853638","1.3708831071853638","1.3708831071853638","1.4347097873687744","1.4347097873687744","1.4347097873687744","1.292502760887146","1.292502760887146","1.292502760887146","1.2814465761184692","1.2814465761184692","1.2814465761184692","1.4220131635665894","1.4220131635665894","1.4220131635665894","1.4036692380905151","1.4036692380905151","1.4036692380905151","1.3848786354064941","1.3848786354064941","1.3848786354064941","1.355000615119934","1.355000615119934","1.355000615119934","1.2189080715179443","1.2189080715179443","1.2189080715179443","1.426163911819458","1.426163911819458","1.426163911819458"
"19","1.3671865463256836","1.3671865463256836","1.3671865463256836","1.4003734588623047","1.4003734588623047","1.4003734588623047","1.2426118850708008","1.2426118850708008","1.2426118850708008","1.2774133682250977","1.2774133682250977","1.2774133682250977","1.3863165378570557","1.3863165378570557","1.3863165378570557","1.373805284500122","1.373805284500122","1.373805284500122","1.3382599353790283","1.3382599353790283","1.3382599353790283","1.3366801738739014","1.3366801738739014","1.3366801738739014","1.2312726974487305","1.2312726974487305","1.2312726974487305","1.39957594871521","1.39957594871521","1.39957594871521"
